Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,130.857,130.857,screen dim,39.327730065749996
0,44.395,44.395,wifi running,0.09578221250000002
44.395,50.069,5.6739999999999995,wifi scan,1.0772656399999998
50.069,66.299,16.230000000000004,wifi running,0.03501622500000001
66.299,71.622,5.322999999999993,wifi scan,1.0106247799999988
71.622,130.857,59.235,wifi running,0.12779951250000002
44.395,130.857,86.46199999999999,audio,14.923341200000001
44.395,63.232,18.836999999999996,audio,3.2512662
66.299,130.857,64.55799999999999,audio,11.142710800000001

